"code","date","age","province","country","1_q1","1_q2","1_q3","1_q4","1_q5","1_q6","1_q7","1_q8","1_q9","1_q10","2_p2_1","2_p2_2","2_p2_3","2_p2_4","2_p2_5","2_p2_6","2_p2_7","2_p2_8","2_p2_9","2_p3_10","2_p3_11","2_p3_12","2_p3_13","2_p3_14","2_p3_15","2_p3_16","2_p3_17","2_p3_18v","2_p3_18e","2_p3_19v","2_p3_19e","2_p3_20v","2_p3_20e","translated"
"s80","06/02/2023","19","","","4","4","5","4","3","5","4","4","5","4","3","5","4","5","4","4","5","5","3","Fulltime student","18-25","3","6","E II 1, E II 2, Marxist - Leninist Philosophy, Micro Economics, Information Technology in Business, Microsoft Office","Yes","Yes","4","Tôi thấy Figure 1 giao diện đã phù hợp","","Tôi thấy nó phù hợp","","Nó phù hợp với tôi","","Yes"
"s81","06/02/2023","18","","","3","4","4","5","5","5","4","5","5","5","5","3","3","5","4","4","5","4","4","Fulltime student","18-25","3","5","Tiếng Anh, Nhập môn tâm lý học, Lịch sử tâm lý học, Triết học, Tin học","Yes","Yes","4","","","","","","","No"
"s82","06/02/2023","20","","","4","4","5","5","5","5","4","4","5","4","4","4","5","5","4","5","4","4","5","Fulltime student","18-25","3","5","Lịch sử tâm lý học, Nhập môn tâm lý học, Tin học dự bị, Triết học Mác Lênin, E II","Yes","Yes","5","","","","","","","No"
"s83","06/02/2023","18","","","4","5","4","3","5","5","5","4","5","4","4","5","3","4","3","4","4","3","5","Fulltime student","18-25","5","5","Triết học Mác Lênin, Anh văn dự bị 3, Tin học dự bị, Nhập môn tâm lý học, Lịch sử tâm lý học","Yes","Yes","4","","","","","","","No"
"s84","06/02/2023","18","","","5","5","5","4","4","4","5","5","5","4","4","3","4","5","5","4","4","5","5","Fulltime student","18-25","3","5","Nhập môn tâm lý học, Lịch sử tâm lý học, Tiếng Anh hội nhập quốc tế , Tin học dự bị, Triết học Mác Lênin","Yes","Yes","4","","","","","","","No"
"s85","06/02/2023","23","","","5","5","5","5","5","5","5","5","5","5","5","4","5","3","5","5","5","5","4","Fulltime student","18-25","1","5","Nhập môn tâm lý học, Lịch sử tâm lý học, Tin học dự bị, Triết học Mác Lênin, Tiếng Anh","Yes","No","4","","","","","","","No"
"s86","06/02/2023","18","","","1","4","5","4","4","5","4","4","5","3","3","5","4","3","4","4","5","5","5","Fulltime student","18-25","4","4","Nhập môn tâm lý học, Lịch sử tâm lý học, Tin học dự bị, Triết học Mác Lênin","Yes","Yes","4","","No","","No","","No","No"
"s87","06/02/2023","23","","","4","2","1","2","4","4","2","5","5","5","4","5","2","3","3","5","5","4","3","Fulltime student","18-25","5","4","Tin học ứng dụng khối ngành kinh tế, Kinh tế vi mô, Tin học dự bị, Triết học Mác Lênin","Yes","Yes","3","","I think that should mỏe colors avaable (either mỏe palette ỏ with a dark mode - since it would be mỏe gentle for the eyes). Also, the graph needs mỏe information about each ""phase"" for the learners, so they will know mỏe about what they are going to learn about the course","","The rating system may be used not as intended for some universities/ schools that are unwilling to look at the learners' feedback","","I like the idea that you can tick a lession when your are finished absorbing the knowledge, but would it be token advantage of if the student are untruthful about their learning. They would just tick the lesson without actually understand the lesson","No"
"s88","06/02/2023","18","","","4","5","5","4","4","3","5","3","3","4","5","4","5","5","5","4","5","5","5","Fulltime student","18-25","5","4","Introduction to Psychology, History of Psychology, Tin học dự bị, Triết học Mác Lênin","Yes","Yes","5","Clean và dễ dùng nhưng em suggest thầy nên thêm một dấu chấm hỏi nhỏ ở trên góc để nếu người dùng không hiểu thì học có thể nhanh chóng nháy hoặc trỏ chuột vào dấu đó và tìm thông tin họ cần ngay lập tức","","Hệ thống revision khá thú vị nhưng em nghĩ thầy nên specify rõ từng mức độ số sao tương ứng (ví dụ 1 sao là unsatified, 5 sao là satisfied…)","","Phần này em thấy ok tại nếu một người lúc đầu ví dụ như chỉ có 2%, sau một lúc học và làm quay lại thấy tăng lên 3%, thấy được progress của mình sẽ giúp tạo động lục hơn. Nếu có góp ý thì em nghĩ nên có thêm một cái reward (tượng trưng thôi) hoặc là một lời động viên, tạo động lực gì đó mỗi lần người dùng check và % ILO tăng","","Yes"
"s89","06/02/2023","18","","","4","5","3","4","3","5","5","3","5","5","5","5","5","5","4","5","5","5","4","Fulltime student","18-25","4","4","Introduction to Psychology, History of Psychology, Tphilosophy ò Karl Mã and Lenin, Preparation ò Information and Communication of Technology","Yes","Yes","5","","","","","","","No"
